Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2026-02-05 13:15,Exit_SFP,69512.1,0.424905,30046.85964,-542.44,-1.81,518.14,1.73,-526.23,-1.75,-542.44,-5.42
1,Entry long,2026-02-05 06:00,SFP_Long,70714.3,0.424905,30046.85964,-542.44,-1.81,518.14,1.73,-526.23,-1.75,-542.44,-5.42
2,Exit long,2026-02-09 00:00,Exit_SFP,72214.9,0.417722,28380.57572,1751.88,6.17,1768.46,6.23,-153.87,-0.54,1209.43,12.09
2,Entry long,2026-02-07 08:45,SFP_Long,67941.3,0.417722,28380.57572,1751.88,6.17,1768.46,6.23,-153.87,-0.54,1209.43,12.09
3,Exit long,2026-02-14 12:00,Exit_SFP,70133.9,0.509703,33631.9879,2076.26,6.17,2095.91,6.23,-464.84,-1.38,3285.69,32.86
3,Entry long,2026-02-12 17:45,SFP_Long,65983.5,0.509703,33631.9879,2076.26,6.17,2095.91,6.23,-464.84,-1.38,3285.69,32.86
4,Exit long,2026-02-17 16:30,Exit_SFP,66616.9,0.588113,39855.8299,-720.66,-1.81,327.78,0.82,-699.12,-1.75,2565.03,25.65
4,Entry long,2026-02-17 12:00,SFP_Long,67769,0.588113,39855.8299,-720.66,-1.81,327.78,0.82,-699.12,-1.75,2565.03,25.65
5,Exit long,2026-02-23 02:00,Exit_SFP,65339.9,0.566992,37687.90154,-681.54,-1.81,1246.46,3.31,-661.17,-1.75,1883.49,18.83
5,Entry long,2026-02-19 13:30,SFP_Long,66469.9,0.566992,37687.90154,-681.54,-1.81,1246.46,3.31,-661.17,-1.75,1883.49,18.83
6,Exit long,2026-02-25 15:45,Exit_SFP,66917.8,0.566147,35643.31298,2201.81,6.17,2222.65,6.23,-278.58,-0.78,4085.3,40.85
6,Entry long,2026-02-24 06:15,SFP_Long,62957.7,0.566147,35643.31298,2201.81,6.17,2222.65,6.23,-278.58,-0.78,4085.3,40.85
7,Exit long,2026-02-27 14:30,Exit_SFP,65704.5,0.631801,42230.08428,-763.89,-1.81,837.88,1.98,-741.06,-1.75,3321.41,33.21
7,Entry long,2026-02-26 17:45,SFP_Long,66840.8,0.631801,42230.08428,-763.89,-1.81,837.88,1.98,-741.06,-1.75,3321.41,33.21
8,Exit long,2026-03-03 10:00,Exit_SFP,66883.8,0.587042,39942.6312,-722.59,-1.81,140.23,0.35,-700.99,-1.75,2598.82,25.99
8,Entry long,2026-03-03 06:45,SFP_Long,68040.5,0.587042,39942.6312,-722.59,-1.81,140.23,0.35,-700.99,-1.75,2598.82,25.99
9,Exit long,2026-03-13 15:15,Exit_SFP,73769.7,0.544291,37776.02699,2333.3,6.17,2355.38,6.23,-254.71,-0.67,4932.12,49.32
9,Entry long,2026-03-11 10:45,SFP_Long,69404.1,0.544291,37776.02699,2333.3,6.17,2355.38,6.23,-254.71,-0.67,4932.12,49.32
10,Exit long,2026-03-17 02:00,Exit_SFP,75856,0.627181,44760.02643,2764.57,6.17,2790.73,6.23,-91.44,-0.20,7696.69,76.97
10,Entry long,2026-03-15 14:15,SFP_Long,71367,0.627181,44760.02643,2764.57,6.17,2790.73,6.23,-91.44,-0.20,7696.69,76.97
11,Exit long,2026-03-18 16:00,Exit_SFP,71018.7,0.734181,53042.30129,-959.91,-1.81,64.09,0.12,-931.22,-1.75,6736.78,67.37
11,Entry long,2026-03-18 14:30,SFP_Long,72246.9,0.734181,53042.30129,-959.91,-1.81,64.09,0.12,-931.22,-1.75,6736.78,67.37
12,Exit long,2026-04-08 00:30,Exit_SFP,70676.3,0.754584,50175.15758,3099.43,6.17,3128.76,6.23,-187.52,-0.37,9836.21,98.36
12,Entry long,2026-04-03 04:15,SFP_Long,66493.8,0.754584,50175.15758,3099.43,6.17,3128.76,6.23,-187.52,-0.37,9836.21,98.36
13,Exit long,2026-04-14 16:30,Exit_SFP,75909,0.832633,59463.98443,3673.58,6.17,3708.35,6.23,-792.56,-1.33,13509.79,135.10
13,Entry long,2026-04-12 13:30,SFP_Long,71416.8,0.832633,59463.98443,3673.58,6.17,3708.35,6.23,-792.56,-1.33,13509.79,135.10
