Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2025-01-20 07:00,Exit_SFP,109882.2,0.298176,30025.21995,2700.72,9.00,2718.72,9.06,-46,-0.15,2700.72,27.01
1,Entry long,2025-01-20 02:00,SFP_Long,100696.3,0.298176,30025.21995,2700.72,9.00,2718.72,9.06,-46,-0.15,2700.72,27.01
2,Exit long,2025-05-01 15:00,Exit_SFP,96583.9,0.405512,38070.11538,1053.43,2.77,1074.97,2.82,-459.7,-1.21,3754.15,37.54
2,Entry long,2025-04-27 14:00,SFP_Long,93881.6,0.405512,38070.11538,1053.43,2.77,1074.97,2.82,-459.7,-1.21,3754.15,37.54
3,Exit long,2025-05-05 01:00,Exit_SFP,94410.4,0.43057,41230.60817,-625.49,-1.52,144.76,0.35,-603.13,-1.46,3128.65,31.29
3,Entry long,2025-05-04 05:00,SFP_Long,95758.2,0.43057,41230.60817,-625.49,-1.52,144.76,0.35,-603.13,-1.46,3128.65,31.29
4,Exit long,2025-05-21 08:00,Exit_SFP,107770,0.385012,39347.34087,2101.67,5.34,2124.5,5.39,-38.06,-0.10,5230.33,52.30
4,Entry long,2025-05-19 08:00,SFP_Long,102197.7,0.385012,39347.34087,2101.67,5.34,2124.5,5.39,-38.06,-0.10,5230.33,52.30
5,Exit long,2025-07-02 18:00,Exit_SFP,109332.4,0.427553,45655.7768,1038.97,2.27,1064.69,2.33,-745.2,-1.63,6269.3,62.69
5,Entry long,2025-07-01 07:00,SFP_Long,106783.9,0.427553,45655.7768,1038.97,2.27,1064.69,2.33,-745.2,-1.63,6269.3,62.69
6,Exit long,2025-07-09 21:00,Exit_SFP,110230.3,0.45361,48765.43377,1182.04,2.42,1209.55,2.48,-140.59,-0.29,7451.34,74.51
6,Entry long,2025-07-04 21:00,SFP_Long,107505.2,0.45361,48765.43377,1182.04,2.42,1209.55,2.48,-140.59,-0.29,7451.34,74.51
7,Exit long,2025-08-02 00:00,Exit_SFP,112907.6,0.447754,52315.26393,-1816.84,-3.47,1816.14,3.47,-1789.04,-3.42,5634.5,56.35
7,Entry long,2025-07-15 08:00,SFP_Long,116839.3,0.447754,52315.26393,-1816.84,-3.47,1816.14,3.47,-1789.04,-3.42,5634.5,56.35
8,Exit long,2025-09-18 05:00,Exit_SFP,117584.2,0.408482,46856.15326,1123.03,2.39,1149.46,2.45,-160.24,-0.34,6757.54,67.58
8,Entry long,2025-09-15 14:00,SFP_Long,114708,0.408482,46856.15326,1123.03,2.39,1149.46,2.45,-160.24,-0.34,6757.54,67.58
9,Exit long,2025-09-22 07:00,Exit_SFP,113935.8,0.435404,50224.33034,-671.52,-1.34,309.53,0.62,-644.22,-1.28,6086.02,60.86
9,Entry long,2025-09-19 22:00,SFP_Long,115351.1,0.435404,50224.33034,-671.52,-1.34,309.53,0.62,-644.22,-1.28,6086.02,60.86
10,Exit long,2025-10-10 19:00,Exit_SFP,117610.4,0.397958,48212.17395,-1461.28,-3.03,1188.33,2.46,-1435.52,-2.97,4624.74,46.25
10,Entry long,2025-10-07 19:00,SFP_Long,121148.9,0.397958,48212.17395,-1461.28,-3.03,1188.33,2.46,-1435.52,-2.97,4624.74,46.25
11,Exit long,2026-01-13 23:00,Exit_SFP,95208.4,0.482542,43864.08114,2026.35,4.62,2051.59,4.68,-792.96,-1.81,6651.09,66.51
11,Entry long,2026-01-07 19:00,SFP_Long,90902.1,0.482542,43864.08114,2026.35,4.62,2051.59,4.68,-792.96,-1.81,6651.09,66.51
12,Exit long,2026-04-14 00:00,Exit_SFP,74140.4,0.698779,49915.81043,1835.82,3.68,1864.31,3.73,-676.41,-1.35,8486.91,84.87
12,Entry long,2026-04-12 12:00,SFP_Long,71432.9,0.698779,49915.81043,1835.82,3.68,1864.31,3.73,-676.41,-1.35,8486.91,84.87
13,Exit long,2026-04-22 04:00,Exit_SFP,77520.9,0.745883,55403.59253,2356.4,4.25,2388.22,4.31,-164.59,-0.30,10843.32,108.43
13,Entry long,2026-04-20 02:00,SFP_Long,74279.2,0.745883,55403.59253,2356.4,4.25,2388.22,4.31,-164.59,-0.30,10843.32,108.43
14,Exit long,2026-04-26 23:00,Exit_SFP,78805,0.80864,62473.66653,1182.19,1.89,1217.25,1.95,-91.08,-0.15,12025.5,120.26
14,Entry long,2026-04-25 21:00,SFP_Long,77257.7,0.80864,62473.66653,1182.19,1.89,1217.25,1.95,-91.08,-0.15,12025.5,120.26
15,Exit long,2026-05-11 01:00,Exit_SFP,82477,0.828725,66049.3825,2227,3.37,2264.59,3.43,-467.37,-0.71,14252.51,142.53
15,Entry long,2026-05-08 03:00,SFP_Long,79700,0.828725,66049.3825,2227,3.37,2264.59,3.43,-467.37,-0.71,14252.51,142.53
