Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2026-02-06 17:15,Exit_SFP,69530.7,0.439388,30040.25454,-543,-1.81,126.39,0.42,-526.23,-1.75,-543,-5.43
1,Entry short,2026-02-06 16:15,SFP_Short,68368.4,0.439388,30040.25454,-543,-1.81,126.39,0.42,-526.23,-1.75,-543,-5.43
2,Exit short,2026-02-09 00:00,Exit_SFP,71596.8,0.403029,28373.2416,-513.5,-1.81,188.97,0.67,-497.64,-1.75,-1056.49,-10.56
2,Entry short,2026-02-08 10:15,SFP_Short,70400,0.403029,28373.2416,-513.5,-1.81,188.97,0.67,-497.64,-1.75,-1056.49,-10.56
3,Exit short,2026-02-11 16:00,Exit_SFP,66314.1,0.387339,26826.16953,1110.76,4.14,1124.88,4.19,-301.69,-1.12,54.27,0.54
3,Entry short,2026-02-10 16:15,SFP_Short,69257.6,0.387339,26826.16953,1110.76,4.14,1124.88,4.19,-301.69,-1.12,54.27,0.54
4,Exit short,2026-02-12 19:30,Exit_SFP,65146,0.442228,30166.09657,1323.4,4.39,1339.24,4.44,-111.38,-0.37,1377.67,13.78
4,Entry short,2026-02-12 12:15,SFP_Short,68213.9,0.442228,30166.09657,1323.4,4.39,1339.24,4.44,-111.38,-0.37,1377.67,13.78
5,Exit short,2026-02-23 02:15,Exit_SFP,65016.6,0.502601,34127.8644,1413.16,4.14,1431.13,4.19,-422.32,-1.24,2790.83,27.91
5,Entry short,2026-02-18 07:30,SFP_Short,67902.5,0.502601,34127.8644,1413.16,4.14,1431.13,4.19,-422.32,-1.24,2790.83,27.91
6,Exit short,2026-02-25 17:15,Exit_SFP,67828.4,0.574967,38347.13658,-694.57,-1.81,0,0.00,-673.12,-1.75,2096.26,20.96
6,Entry short,2026-02-25 15:45,SFP_Short,66694.5,0.574967,38347.13658,-694.57,-1.81,0,0.00,-673.12,-1.75,2096.26,20.96
7,Exit short,2026-03-04 09:45,Exit_SFP,70829.6,0.520783,36270.2445,-656.82,-1.81,0,0.00,-636.53,-1.75,1439.44,14.39
7,Entry short,2026-03-04 09:30,SFP_Short,69645.6,0.520783,36270.2445,-656.82,-1.81,0,0.00,-636.53,-1.75,1439.44,14.39
