Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2025-02-16 10:00,EXIT LONG L-HBD,97088.8,0.285879,29988.53557,-2264.98,-7.55,428.79,1.43,-3931.64,-13.11,-2264.98,-22.65
1,Entry long,2025-01-26 13:00,LONG L-HBD,104899.4,0.285879,29988.53557,-2264.98,-7.55,428.79,1.43,-3931.64,-13.11,-2264.98,-22.65
2,Exit long,2025-03-26 15:00,EXIT LONG L-HBD,86692.7,0.275767,23192.0047,689.2,2.97,1276.02,5.50,-828.13,-3.57,-1575.78,-15.76
2,Entry long,2025-03-15 12:00,LONG L-HBD,84100,0.275767,23192.0047,689.2,2.97,1276.02,5.50,-828.13,-3.57,-1575.78,-15.76
3,Exit long,2025-04-19 18:00,EXIT LONG L-HBD,84713.4,0.297601,25261.50376,-78.46,-0.31,217.17,0.86,-64.6,-0.26,-1654.24,-16.54
3,Entry long,2025-04-19 05:00,LONG L-HBD,84883.8,0.297601,25261.50376,-78.46,-0.31,217.17,0.86,-64.6,-0.26,-1654.24,-16.54
4,Exit long,2025-05-23 12:00,EXIT LONG L-HBD,109977.6,0.265033,25008.48738,4110.48,16.42,4663.14,18.63,-427.33,-1.71,2456.24,24.56
4,Entry long,2025-04-26 23:00,LONG L-HBD,94359.9,0.265033,25008.48738,4110.48,16.42,4663.14,18.63,-427.33,-1.71,2456.24,24.56
5,Exit long,2025-06-10 16:00,EXIT LONG L-HBD,108719.1,0.352413,37330.22806,942.6,2.52,1650.1,4.42,-54.81,-0.15,3398.84,33.99
5,Entry long,2025-06-09 10:00,LONG L-HBD,105927.5,0.352413,37330.22806,942.6,2.52,1650.1,4.42,-54.81,-0.15,3398.84,33.99
6,Exit long,2025-06-27 03:00,EXIT LONG L-HBD,106480.7,0.377418,40158.33197,-14.8,-0.04,684.36,1.70,-52.23,-0.13,3384.04,33.84
6,Entry long,2025-06-25 08:00,LONG L-HBD,106402.8,0.377418,40158.33197,-14.8,-0.04,684.36,1.70,-52.23,-0.13,3384.04,33.84
7,Exit long,2025-07-14 05:00,EXIT LONG L-HBD,120637.6,0.368907,40122.03019,4337.35,10.80,4361.84,10.86,-117.71,-0.29,7721.39,77.21
7,Entry long,2025-07-09 11:00,LONG L-HBD,108759.2,0.368907,40122.03019,4337.35,10.80,4361.84,10.86,-117.71,-0.29,7721.39,77.21
8,Exit long,2025-08-11 02:00,EXIT LONG L-HBD,119436.6,0.449361,53118.96381,492.53,0.93,685.4,1.29,-2856.9,-5.38,8213.93,82.14
8,Entry long,2025-07-27 15:00,LONG L-HBD,118210,0.449361,53118.96381,492.53,0.93,685.4,1.29,-2856.9,-5.38,8213.93,82.14
9,Exit long,2025-09-08 16:00,EXIT LONG L-HBD,112787.4,0.487106,54586.55968,292.63,0.54,613.41,1.12,-1365.08,-2.50,8506.56,85.07
9,Entry long,2025-09-04 02:00,LONG L-HBD,112063,0.487106,54586.55968,292.63,0.54,613.41,1.12,-1365.08,-2.50,8506.56,85.07
10,Exit long,2025-09-15 03:00,EXIT LONG L-HBD,114870.6,0.478162,55450.29541,-584.52,-1.05,66.21,0.12,-554.3,-1.00,7922.04,79.22
10,Entry long,2025-09-13 10:00,LONG L-HBD,115965.5,0.478162,55450.29541,-584.52,-1.05,66.21,0.12,-554.3,-1.00,7922.04,79.22
11,Exit long,2025-10-05 04:00,EXIT LONG L-HBD,123365.7,0.43874,53701.03014,365.29,0.68,395.07,0.73,-413.71,-0.77,8287.32,82.87
11,Entry long,2025-10-04 15:00,LONG L-HBD,122398.3,0.43874,53701.03014,365.29,0.68,395.07,0.73,-413.71,-0.77,8287.32,82.87
12,Exit long,2025-10-26 12:00,EXIT LONG L-HBD,113244.4,0.489835,54818.61045,591.91,1.08,622.43,1.13,-397.57,-0.72,8879.23,88.79
12,Entry long,2025-10-25 14:00,LONG L-HBD,111912.4,0.489835,54818.61045,591.91,1.08,622.43,1.13,-397.57,-0.72,8879.23,88.79
13,Exit long,2025-11-02 23:00,EXIT LONG L-HBD,109584.7,0.494666,56599.68372,-2452.08,-4.33,799.96,1.41,-4055.37,-7.16,6427.15,64.27
13,Entry long,2025-10-28 09:00,LONG L-HBD,114420,0.494666,56599.68372,-2452.08,-4.33,799.96,1.41,-4055.37,-7.16,6427.15,64.27
14,Exit long,2025-12-21 14:00,EXIT LONG L-HBD,87675.5,0.540683,49241.02811,-1889,-3.84,1882.48,3.82,-3947.87,-8.01,4538.16,45.38
