Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2025-02-01 23:00,EXIT SHORT S-HBD,100785.8,0.315782,29991.58492,-1868.16,-6.23,1823.05,6.08,-4722.8,-15.76,-1868.16,-18.68
1,Entry short,2025-01-09 02:00,SHORT S-HBD,94975.6,0.315782,29991.58492,-1868.16,-6.23,1823.05,6.08,-4722.8,-15.76,-1868.16,-18.68
2,Exit short,2025-03-09 11:00,EXIT SHORT S-HBD,84860.7,0.251669,24378.37069,2995.41,12.28,4665,19.14,-674.6,-2.77,1127.25,11.27
2,Entry short,2025-02-16 23:00,SHORT S-HBD,96866.8,0.251669,24378.37069,2995.41,12.28,4665,19.14,-674.6,-2.77,1127.25,11.27
3,Exit short,2025-03-23 12:00,EXIT SHORT S-HBD,84590.6,0.400351,33365.73276,-537.09,-1.61,861.62,2.58,-1657.21,-4.96,590.16,5.90
3,Entry short,2025-03-17 11:00,SHORT S-HBD,83341.2,0.400351,33365.73276,-537.09,-1.61,861.62,2.58,-1657.21,-4.96,590.16,5.90
4,Exit short,2025-04-06 19:00,EXIT SHORT S-HBD,81413.5,0.382874,31763.49505,557.55,1.76,656.53,2.07,-2148.62,-6.76,1147.71,11.48
4,Entry short,2025-03-30 07:00,SHORT S-HBD,82960.7,0.382874,31763.49505,557.55,1.76,656.53,2.07,-2148.62,-6.76,1147.71,11.48
5,Exit short,2025-06-01 18:00,EXIT SHORT S-HBD,105017,0.320836,33408.01101,-322.29,-0.96,101.89,0.30,-303.75,-0.91,825.42,8.25
5,Entry short,2025-06-01 03:00,SHORT S-HBD,104128,0.320836,33408.01101,-322.29,-0.96,101.89,0.30,-303.75,-0.91,825.42,8.25
6,Exit short,2025-06-20 09:00,EXIT SHORT S-HBD,105636.4,0.308127,32444.14003,-141.06,-0.43,577.94,1.78,-1151.94,-3.55,684.36,6.84
6,Entry short,2025-06-15 21:00,SHORT S-HBD,105294.7,0.308127,32444.14003,-141.06,-0.43,577.94,1.78,-1151.94,-3.55,684.36,6.84
7,Exit short,2025-08-03 20:00,EXIT SHORT S-HBD,114426,0.270815,32019.10741,995.9,3.11,1692.59,5.28,-442.23,-1.38,1680.27,16.80
7,Entry short,2025-07-24 15:00,SHORT S-HBD,118232.4,0.270815,32019.10741,995.9,3.11,1692.59,5.28,-442.23,-1.38,1680.27,16.80
8,Exit short,2025-08-18 04:00,EXIT SHORT S-HBD,116105.7,0.298023,34998.77804,358.54,1.02,377.58,1.08,-360.73,-1.03,2038.8,20.39
8,Entry short,2025-08-16 23:00,SHORT S-HBD,117436.5,0.298023,34998.77804,358.54,1.02,377.58,1.08,-360.73,-1.03,2038.8,20.39
9,Exit short,2025-09-07 10:00,EXIT SHORT S-HBD,111240.4,0.316506,36093.93278,846.77,2.34,2128.89,5.89,-1087.25,-3.01,2885.58,28.86
9,Entry short,2025-08-21 04:00,SHORT S-HBD,114038.7,0.316506,36093.93278,846.77,2.34,2128.89,5.89,-1087.25,-3.01,2885.58,28.86
10,Exit short,2025-11-16 16:00,EXIT SHORT S-HBD,94419.3,0.362091,38620.3726,4389.91,11.37,4556.8,11.80,-3548.45,-9.18,7275.49,72.75
10,Entry short,2025-10-18 18:00,SHORT S-HBD,106659.3,0.362091,38620.3726,4389.91,11.37,4556.8,11.80,-3548.45,-9.18,7275.49,72.75
11,Exit short,2025-12-15 15:00,EXIT SHORT S-HBD,87897.8,0.574582,51778.28456,1217.76,2.35,1433.46,2.77,-55.68,-0.11,8493.25,84.93
11,Entry short,2025-12-14 09:00,SHORT S-HBD,90114.7,0.574582,51778.28456,1217.76,2.35,1433.46,2.77,-55.68,-0.11,8493.25,84.93
12,Exit short,2026-01-19 00:00,EXIT SHORT S-HBD,94368.6,0.58142,55468.10756,539.47,0.97,569.63,1.03,-172.72,-0.31,9032.71,90.33
12,Entry short,2026-01-17 02:00,SHORT S-HBD,95401.1,0.58142,55468.10756,539.47,0.97,569.63,1.03,-172.72,-0.31,9032.71,90.33
13,Exit short,2026-03-08 05:00,EXIT SHORT S-HBD,66733.8,0.637426,57121.01871,14528.52,25.42,18808.4,32.97,-1062.08,-1.86,23561.24,235.61
13,Entry short,2026-01-23 06:00,SHORT S-HBD,89612,0.637426,57121.01871,14528.52,25.42,18808.4,32.97,-1062.08,-1.86,23561.24,235.61
14,Exit short,2026-04-04 15:00,EXIT SHORT S-HBD,67247.7,1.516115,100686.7133,-1379.87,-1.37,2114.75,2.10,-4484.58,-4.46,22181.36,221.81
14,Entry short,2026-03-28 09:00,SHORT S-HBD,66411,1.516115,100686.7133,-1379.87,-1.37,2114.75,2.10,-4484.58,-4.46,22181.36,221.81
15,Exit short,2026-05-29 17:00,EXIT SHORT S-HBD,74196,1.234253,96531.54426,4845.44,5.02,6995.71,7.25,-398.27,-0.41,27026.8,270.27
15,Entry short,2026-05-17 15:00,SHORT S-HBD,78210.5,1.234253,96531.54426,4845.44,5.02,6995.71,7.25,-398.27,-0.41,27026.8,270.27
